자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율,area/Dong,시설개수,시설비율,slope_p
성북구,종암동,3645,6538,1595,11069.11111,39187,0.282468959,0.0065726,51,0.0041793,1
종로구,종로5·6가동,157,1066,255,1364.666667,5264,0.259245188,0.0555842,17,0.0013931,1
종로구,종로1·2·3·4가동,251,1898,398,2370.111111,7227,0.327952278,0,33,0.002704253,1
관악구,조원동,863,2745,704,3999.111111,17360,0.230363543,0.0080591,25,0.002048677,1
동대문구,제기동,1365,5664,1391,7801.777778,24690,0.315989379,0,34,0.0027862,6
성북구,정릉4동,2203,4735,1044,7518,25295,0.297212888,0,28,0.002294518,4
성북구,정릉3동,808,3220,734,4435.777778,15186,0.292096522,0,15,0.001229206,3
성북구,정릉2동,1936,4343,975,6820.666667,23261,0.293223278,0,30,0.002458412,6
성북구,정릉1동,1882,3062,680,5321.777778,18413,0.289022852,0,26,0.002130624,6
동대문구,전농2동,1695,3603,926,5812.444444,18954,0.30666057,0,29,0.002376465,6
동대문구,전농1동,2327,5455,1526,8629.777778,29536,0.292178283,0.0011883,27,0.002212571,6
중구,장충동,239,845,198,1194,4566,0.261498029,0,8,0.000655576,5
송파구,장지동,2996,4174,1343,7916.111111,29816,0.265498763,0.010563,84,0.006883553,6
성북구,장위3동,2134,2153,674,4661.444444,16398,0.284269084,0,22,0.001802835,1
성북구,장위2동,813,3055,719,4267.444444,13716,0.311128933,0,23,0.001884782,6
성북구,장위1동,2232,3934,1089,6771,24100,0.280954357,0,21,0.001720888,6
동대문구,장안2동,3725,5087,1332,9552,32698,0.292127959,0.0130974,53,0.004343194,1
동대문구,장안1동,3266,6289,1716,10508.33333,38445,0.2733342,0,42,0.003441777,1
서초구,잠원동,3161,3339,540,6800,27813,0.244489987,0.0037839,24,0.001966729,0
송파구,잠실본동,1711,3647,800,5802.444444,28278,0.205192886,0,20,0.001638941,1
송파구,잠실7동,823,2110,211,3050.222222,9747,0.312939594,0,3,0.000245841,1
송파구,잠실6동,1965,2739,371,4910.111111,16982,0.28913621,0,22,0.001802835,0
송파구,잠실4동,3680,2678,437,6600.777778,21397,0.308490806,0,25,0.002048677,1
