NTFC_DE,index,SNHO_NO,JSH_NO,BUS_NO,PK,RN,SIG_CD_PK,RDS_MAN_NO_PK,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,RDS_DPN_SE,SPD_LMT,SOIL_INCLN,SOIL_INCL_,CAR_PER_RD,DNGR_RD,dan_lvl
20100603,18129,0,0,0,112002176,왕십리로33길,11200,2176,4109450,3,16,4,1,30,7-15%,3,0.189118158,0,0.8
20100603,18133,0,0,0,112001666,살곶이2가길,11200,1666,4109298,1,16,4,2,30,0-2%,1,0.063039386,0,0.6
20100603,18138,0,2,1,11200982,아차산로17길,11200,982,4109391,9,715,4,0,30,0-2%,1,0.567354475,0,0
20100603,18140,0,0,0,11200771,용답1길,11200,771,4109464,8,53,4,1,30,2-7%,2,0.504315089,0,0
20100603,18145,0,0,0,112001266,마장로46길,11200,1266,4109191,10,21,4,1,30,2-7%,2,0.630393862,0,0
20100603,18146,0,0,0,11200774,금호산6길,11200,774,4109072,4,15,4,1,30,7-15%,3,0.252157545,0,0.6
20100603,18147,0,1,0,112001269,독서당로46가길,11200,1269,4109088,3,33,4,2,30,30-60%,5,0.189118158,0,0.4
20100701,18150,0,0,0,11200775,둘레5길,11200,775,4109142,10,81,4,1,30,15-30%,4,0.630393862,0,0.4
20100701,18154,0,0,0,112002159,성수일로3길,11200,2159,4109363,4,55,4,1,30,7-15%,3,0.252157545,0,0
20100603,18160,0,0,0,112002163,왕십리로21길,11200,2163,4109432,7,55,4,1,30,7-15%,3,0.441275703,0,0.4
20100603,18165,0,0,0,11200287,용답중앙11다길,11200,287,4109491,3,12,4,1,30,7-15%,3,0.189118158,0,0
20100603,18173,0,0,0,11200778,용답중앙길,11200,778,4109509,12,27,4,1,30,7-15%,3,0.756472634,0,0
20100603,18188,0,0,0,11200769,뚝섬로17길,11200,769,4109154,2,11,4,1,30,2-7%,2,0.126078772,0,0
20100603,18192,0,0,0,112001263,용답15길,11200,1263,4109460,3,62,4,1,30,30-60%,5,0.189118158,0,0
20100603,18201,0,0,0,11200770,용답23길,11200,770,4109467,10,57,4,1,30,2-7%,2,0.630393862,0,0
20100603,18204,1,0,0,112001264,연무장1길,11200,1264,4109406,6,201,4,0,30,0-2%,1,0.378236317,0,0
20100603,18230,0,0,0,112001816,광나루로11길,11200,1816,4109028,3,17,4,1,30,0-2%,1,0.189118158,0,0
20090710,18268,62,1,18,11200303,아차산로,11200,303,3000002,35,12710,3,0,50,2-7%,2,2.206378515,0,0.6
20100603,18276,0,0,0,11200304,왕십리로13길,11200,304,4109418,6,41,4,2,30,0-2%,1,0.378236317,0,0
20110331,18315,3,3,6,11200544,마조로19길,11200,544,4109201,5,165,4,0,30,2-7%,2,0.315196931,0,1
20100603,18317,0,0,0,112001813,사근동11다길,11200,1813,4109286,3,169,4,0,30,2-7%,2,0.189118158,0,0.4
20100603,18321,0,0,0,112001814,송정길,11200,1814,4109385,4,156,4,1,30,0-2%,1,0.252157545,0,0
20100603,18326,0,0,0,112001815,광나루로9가길,11200,1815,4109037,4,37,4,1,30,0-2%,1,0.252157545,0,0
20100603,18339,0,0,0,11200305,왕십리로13길,11200,305,4109418,6,42,4,2,30,2-7%,2,0.378236317,0,0
20100710,18343,0,0,0,11200307,동일로,11200,307,3000001,2,28595,3,1,50,2-7%,2,0.126078772,20314,0
20100603,18364,0,0,0,11200309,왕십리로17길,11200,309,4109426,6,42,4,1,30,2-7%,2,0.378236317,0,0
20100603,18412,0,0,0,112002450,용답중앙1길,11200,2450,4109498,7,114,4,0,30,15-30%,4,0.441275703,0,0
20100603,18415,0,0,0,11200570,왕십리로31가길,11200,570,4109446,5,18,4,1,30,7-15%,3,0.315196931,0,0.4
20100701,18418,0,0,0,112002081,성수이로,11200,2081,3103003,20,56,3,1,50,0-2%,1,1.260787723,0,0.2
20100603,18701,0,0,0,11200984,무학로14길,11200,984,4109246,7,19,4,1,30,7-15%,3,0.441275703,0,0
20100603,18702,0,0,1,11200985,사근동7길,11200,985,4109291,2,10,4,1,30,7-15%,3,0.126078772,0,0.8
20100701,18703,0,0,0,11200986,성수일로4길,11200,986,4109365,2,28,4,1,30,30-60%,5,0.126078772,0,0
20100603,18704,0,0,0,11200987,왕십리로14나길,11200,987,4109423,4,107,4,0,30,15-30%,4,0.252157545,0,0
20100603,18706,0,0,0,11200989,무학봉25길,11200,989,4109272,5,24,4,1,30,0-2%,1,0.315196931,0,0
20100701,18710,0,0,0,11200990,성수일로1길,11200,990,4109362,4,21,4,1,30,2-7%,2,0.252157545,0,0
20100603,18714,0,0,0,11200991,왕십리로21마길,11200,991,4109436,3,52,4,1,30,0-2%,1,0.189118158,0,0.4
20100422,18794,0,0,0,11200992,마장로,11200,992,3005009,2,3600,3,1,50,7-15%,3,0.126078772,0,0
20100422,18800,0,0,1,112001276,마장로,11200,1276,3005009,4,3600,3,1,50,0-2%,1,0.252157545,0,0.2
20100603,18803,0,0,0,112001277,행당로13길,11200,1277,4109536,3,28,4,1,30,2-7%,2,0.189118158,0,0.6
20100603,18883,0,0,0,11200783,동호로4길,11200,783,4109127,2,25,4,1,30,0-2%,1,0.126078772,0,0.8
20100603,19035,0,0,0,112001273,왕십리로21가길,11200,1273,4109431,6,23,4,1,30,2-7%,2,0.378236317,0,0.8
20100603,19039,0,0,0,11200779,왕십리로21마길,11200,779,4109436,3,162,4,0,30,15-30%,4,0.189118158,0,0.6
20100603,19043,0,0,0,11200780,서울숲6길,11200,780,4109320,6,36,4,1,30,15-30%,4,0.378236317,0,0
20100603,19046,0,0,0,11200781,연무장길,11200,781,4109413,10,88,4,1,30,0-2%,1,0.630393862,0,0
20100603,19050,0,0,0,11200993,무학봉11가길,11200,993,4109254,3,32,4,1,30,2-7%,2,0.189118158,0,0.4
20100701,19057,0,0,0,11200998,상원1길,11200,998,4109310,36,59,4,1,30,0-2%,1,2.269417901,0,0
20100603,19084,0,0,0,112001280,성덕정15길,11200,1280,4109326,5,61,4,1,30,0-2%,1,0.315196931,0,0
20100603,19087,0,0,0,11200787,고산자로17길,11200,787,4109008,5,310,4,0,30,30-60%,5,0.315196931,0,0
20100603,19092,0,0,0,112001281,서울숲4길,11200,1281,4109319,8,87,4,1,30,7-15%,3,0.504315089,0,0
20100603,19114,0,0,2,11200999,사근동9길,11200,999,4109296,3,80,4,1,30,15-30%,4,0.189118158,0,0.8
20100603,19118,0,0,0,112001000,고산자로8길,11200,1000,4109023,8,10,4,2,30,0-2%,1,0.504315089,0,0
20100603,19122,0,0,0,112001488,청계천로10가길,11200,1488,4109523,10,31,4,1,30,0-2%,1,0.630393862,0,0
20100701,19127,0,0,0,112001489,성수이로7가길,11200,1489,4109354,3,62,4,1,30,2-7%,2,0.189118158,0,0
20100701,19130,0,0,0,112001490,둘레5길,11200,1490,4109142,10,12,4,1,30,0-2%,1,0.630393862,0,0.2
20090710,19134,0,0,0,112001282,고산자로,11200,1282,3005030,2,6200,3,1,50,2-7%,2,0.126078772,0,0
20100422,19138,2,2,1,11200163,동호로,11200,163,3005001,5,3900,3,1,50,0-2%,1,0.315196931,20302,0.8
20100701,19175,0,0,0,112001817,둘레7길,11200,1817,4109144,7,18,4,1,30,0-2%,1,0.441275703,0,0.4
20100603,19180,0,0,0,112001819,무학로14길,11200,1819,4109246,7,16,4,1,30,2-7%,2,0.441275703,0,0
20100422,19187,74,18,26,11200308,왕십리로,11200,308,3005011,30,3900,3,0,50,7-15%,3,1.891181585,0,1
20100603,19191,6,2,4,112001821,행당로8길,11200,1821,4109543,5,466,4,0,30,0-2%,1,0.315196931,0,0.8
20100603,19195,0,0,0,112001822,용답중앙17길,11200,1822,4109495,4,125,4,0,30,0-2%,1,0.252157545,0,0
20100603,19199,0,0,0,112002329,용답29길,11200,2329,4109478,8,17,4,1,30,15-30%,4,0.504315089,0,0
20100701,19204,0,0,0,11200574,성수일로3길,11200,574,4109363,4,24,4,1,30,7-15%,3,0.252157545,0,0
20100603,19208,0,0,0,112001075,용답15길,11200,1075,4109460,2,13,4,2,30,0-2%,1,0.126078772,0,0
20100603,19243,0,0,0,112001567,왕십리로21다길,11200,1567,4109434,5,29,4,2,30,15-30%,4,0.315196931,0,0.4
20100603,19260,0,0,0,112002328,용답19길,11200,2328,4109463,8,78,4,1,30,0-2%,1,0.504315089,0,0
20100701,19263,0,0,0,112001074,성수일로10가길,11200,1074,4109357,6,130,4,0,30,15-30%,4,0.378236317,0,0
20100603,19267,0,0,0,11200573,용답중앙길,11200,573,4109509,12,41,4,1,30,7-15%,3,0.756472634,0,0
20100603,19282,0,0,0,11200824,고산자로12길,11200,824,4109005,4,28,4,1,30,0-2%,1,0.252157545,0,0.4
20100603,19285,0,0,0,11200572,마장로31가길,11200,572,4109174,6,104,4,0,30,2-7%,2,0.378236317,0,0
20100603,19287,0,0,0,112002448,용답15길,11200,2448,4109460,8,148,4,0,30,7-15%,3,0.504315089,0,0
20100603,19289,0,0,0,11200825,왕십리로21길,11200,825,4109432,7,69,4,1,30,15-30%,4,0.441275703,0,0.6
20100603,19291,0,0,0,112001568,무학로14길,11200,1568,4109246,7,59,4,1,30,15-30%,4,0.441275703,0,0
20100603,19294,0,0,0,112002327,왕십리로14길,11200,2327,4109422,8,28,4,1,30,0-2%,1,0.504315089,0,0
20100603,19296,0,0,0,112002080,용답길,11200,2080,4109487,8,34,4,1,30,0-2%,1,0.504315089,0,0
20100603,19298,0,1,0,11200828,무학봉28길,11200,828,4109274,5,302,4,0,30,0-2%,1,0.315196931,0,1
20100603,19316,0,1,0,112001824,무학로2다길,11200,1824,4109250,4,99,4,0,30,0-2%,1,0.252157545,0,0.6
20100603,19320,0,0,0,112001325,왕십리로19나길,11200,1325,4109429,5,10,4,1,30,7-15%,3,0.315196931,0,0
20100603,19324,0,0,0,112001825,무학로8길,11200,1825,4109253,6,429,4,0,30,30-60%,5,0.378236317,0,0
20100603,19423,0,0,0,112001326,한림말3길,11200,1326,4109532,5,19,4,1,30,7-15%,3,0.315196931,0,0.8
20100603,19426,0,0,0,112001327,사근동10길,11200,1327,4109282,6,15,4,1,30,2-7%,2,0.378236317,0,0.4
20100603,19447,0,0,0,112001826,성덕정15길,11200,1826,4109326,5,38,4,1,30,2-7%,2,0.315196931,0,0
20100603,19496,0,0,0,112002330,광나루로9가길,11200,2330,4109037,4,71,4,1,30,2-7%,2,0.252157545,0,0
20100701,19505,0,0,0,11200312,상원2길,11200,312,4109311,6,67,4,1,30,2-7%,2,0.378236317,0,0
20100603,19509,0,0,0,112001572,고산자로12길,11200,1572,4109005,4,19,4,2,30,2-7%,2,0.252157545,0,0.2
20100701,19522,2,0,0,11200314,상원2길,11200,314,4109311,6,67,4,1,30,0-2%,1,0.378236317,0,0
20100603,19527,0,0,0,112001077,사근동11길,11200,1077,4109284,5,40,4,2,30,2-7%,2,0.315196931,0,0.6
20100422,19531,2,0,2,112002085,뚝섬로,11200,2085,3103010,4,6750,3,1,50,15-30%,4,0.252157545,0,0
20100701,19553,1,0,0,11200301,둘레길,11200,301,4109148,6,129,4,1,30,0-2%,1,0.378236317,0,0.4
20100603,19605,0,2,2,112002361,금호산15가길,11200,2361,4109064,8,239,4,0,30,2-7%,2,0.504315089,0,1
20100422,19607,0,0,1,112002362,왕십리로,11200,2362,3005011,6,3900,3,2,50,15-30%,4,0.378236317,0,0.6
20100603,19609,5,4,0,112002363,동일로59가길,11200,2363,4109121,3,213,4,0,30,15-30%,4,0.189118158,0,0
20100701,19610,0,0,0,112002083,둘레9가길,11200,2083,4109145,3,19,4,1,30,2-7%,2,0.189118158,0,0.2
20100701,19614,0,2,0,112002452,자동차시장3길,11200,2452,4109511,6,1069,4,0,30,30-60%,5,0.378236317,0,0
20100603,19795,1,0,0,112002364,성덕정5길,11200,2364,4109336,5,199,4,0,30,7-15%,3,0.315196931,0,0.2
20100603,19797,0,1,2,112002365,송정12길,11200,2365,4109370,8,261,4,0,30,7-15%,3,0.504315089,0,0
20100603,19799,0,0,0,112002366,용답1길,11200,2366,4109464,8,147,4,0,30,7-15%,3,0.504315089,0,0
20100603,19801,0,0,0,112002462,용답9길,11200,2462,4109485,7,94,4,0,30,7-15%,3,0.441275703,0,0
20100603,19834,0,1,0,11200830,왕십리로31가길,11200,830,4109446,4,165,4,0,30,7-15%,3,0.252157545,0,0.6
20100701,19838,0,0,0,112001573,성수일로12가길,11200,1573,4109360,6,25,4,1,30,7-15%,3,0.378236317,0,0
20100603,19853,0,1,0,112001574,마장로35나길,11200,1574,4109181,10,109,4,1,30,2-7%,2,0.630393862,0,0
20100603,19891,0,1,0,112001570,독서당로62가길,11200,1570,4109108,6,15,4,2,30,7-15%,3,0.378236317,0,0
20100701,19896,0,0,2,11200311,상원2길,11200,311,4109311,6,67,4,1,30,2-7%,2,0.378236317,0,0
20100603,19901,0,0,0,11200831,한림말1길,11200,831,4109531,5,41,4,1,30,0-2%,1,0.315196931,0,0.8
