자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율
동작구,신대방1동,2204,3715,827,6378.444444,23492,0.271515599
동작구,신대방2동,1880,3022,707,5294.777778,19912,0.265908888
동작구,흑석동,2994,5571,1119,9186.666667,31807,0.288825311
동작구,노량진1동,2474,5669,1229,8825.777778,31920,0.276496798
동작구,사당2동,2211,5282,914,8000.777778,27024,0.296061937
관악구,보라매동,1531,4397,1135,6558.555556,24383,0.268980665
관악구,청림동,1551,2682,664,4601.888889,15333,0.300129713
관악구,행운동,1499,4301,1070,6394.444444,29086,0.219846127
관악구,낙성대동,878,1944,472,3084.222222,16902,0.182476761
관악구,중앙동,530,2335,579,3186.666667,15192,0.209759523
관악구,인헌동,1506,3961,917,5976.444444,25970,0.230128781
관악구,남현동,1172,2726,560,4209.111111,18166,0.231702692
관악구,서원동,858,3238,804,4542.666667,22648,0.200576946
관악구,신원동,763,3178,827,4400.444444,18100,0.243118478
관악구,서림동,1061,3452,872,4997.444444,23497,0.212684362
관악구,신사동,1040,3395,911,4941.111111,16384,0.301581489
관악구,신림동,441,1905,554,2653.777778,21805,0.121705012
관악구,난향동,1548,2686,708,4627.333333,15540,0.297769198
관악구,조원동,863,2745,704,3999.111111,17360,0.230363543
관악구,대학동,939,2935,732,4280.666667,23639,0.18108493
관악구,은천동,2859,5775,1687,9571.222222,33664,0.284316249
관악구,성현동,2783,5241,1429,8817.888889,29848,0.295426457
관악구,청룡동,1638,4361,1068,6592.333333,35200,0.187282197
관악구,난곡동,1729,5299,1600,7916.888889,27304,0.289953446
관악구,삼성동,1215,5604,1542,7675.666667,23079,0.33258229
관악구,미성동,2341,5714,1430,8849.444444,31040,0.285098081
서초구,서초1동,2071,2991,488,5333.111111,20801,0.256387246
서초구,서초2동,2510,2631,369,5346,22083,0.242086673
서초구,서초3동,2448,4679,731,7533.111111,32128,0.234471835
서초구,서초4동,4337,4090,475,8690.888889,31241,0.278188563
서초구,잠원동,3161,3339,540,6800,27813,0.244489987
서초구,반포본동,990,1865,183,2956.666667,11467,0.257841342
서초구,반포1동,4215,3581,562,8108.222222,32089,0.25267918
서초구,반포2동,2792,1895,245,4823.111111,15889,0.303550325
서초구,반포3동,2875,2932,352,6002.555556,22352,0.268546687
서초구,반포4동,2292,2829,347,5313.777778,19211,0.27660079
서초구,방배본동,2256,3028,460,5539.555556,21008,0.263687907
서초구,방배1동,1504,2814,479,4584.111111,17062,0.268673726
서초구,방배2동,1615,3458,681,5451.333333,19954,0.273195015
